service_code,service_full_name,main_resource_example,secondary_examples,from_operation,id_fields_seen
artifact,AWS Artifact,CustomerAgreementSummary,ReportSummary;acceptanceTerm,ListCustomerAgreements,agreementArn;awsAccountId;organizationArn
athena,Amazon Athena,WorkGroupSummary,NamedQuery;ApplicationDPUSize,ListWorkGroups,IdentityCenterApplicationArn;Name
auditmanager,AWS Audit Manager,Delegation,Delegation;Delegation,ListAssessments,assessmentId;assessmentName;controlSetId;roleArn
autoscaling,Auto Scaling,AutoScalingInstanceDetail,Instance;Instance,DescribeAutoScalingInstances,AutoScalingGroupName;InstanceId;LaunchConfigurationName
autoscaling-plans,AWS Auto Scaling Plans,ScalingPlanResource,MetricDimension;MetricDimension,DescribeScalingPlanResources,ResourceId;ScalingPlanName
b2bi,AWS B2B Data Interchange,ProfileSummary,CapabilitySummary;PartnershipSummary,ListProfiles,businessName;logGroupName;profileId
backup,AWS Backup,BackupJob,BackupPlansListMember;BackupPlansListMember,ListBackupJobs,AccountId;BackupJobId;BackupVaultArn;BackupVaultName;IamRoleArn;ParentJobId;RecoveryPointArn;ResourceArn;ResourceName
backup-gateway,AWS Backup Gateway,Gateway,VirtualMachine;Hypervisor,ListGateways,GatewayArn;GatewayDisplayName;HypervisorId
backupsearch,AWS Backup Search,SearchJobSummary,ExportJobSummary;SearchJobBackupsResult,ListSearchJobs,Name;SearchJobArn
batch,AWS Batch,JobDetail,JobSummary;ServiceJobSummary,DescribeJobs,jobArn;jobId;jobName
bcm-data-exports,AWS Billing and Cost Management Data Exports,ExportReference,Table;TablePropertyDescription,ListExports,ExportArn;ExportName
bcm-pricing-calculator,AWS Billing and Cost Management Pricing Calculator,BillEstimateCommitmentSummary,BillEstimateInputCommitmentModificationSummary;BillEstimateInputUsageModificationSummary,ListBillEstimateCommitments,offeringId;usageAccountId
bedrock,Amazon Bedrock,CustomModelSummary,FoundationModelSummary;InferenceProfileSummary,ListCustomModels,baseModelArn;baseModelName;modelArn;modelName;ownerAccountId
bedrock-agent,Agents for Amazon Bedrock,ActionGroupSummary,AgentAliasSummary;AgentCollaboratorSummary,ListAgentActionGroups,actionGroupId;actionGroupName
bedrock-agent-runtime,Agents for Amazon Bedrock Runtime,SessionSummary,FlowExecutionSummary;InvocationStepSummary,ListSessions,sessionArn;sessionId
bedrock-agentcore,Amazon Bedrock AgentCore Data Plane Fronting Layer,ActorSummary,BrowserSessionSummary;CodeInterpreterSessionSummary,ListActors,actorId
bedrock-agentcore-control,Amazon Bedrock Agent Core Control Plane Fronting Layer,Agent,Agent;BrowserSummary,ListAgentRuntimeVersions,agentRuntimeArn;agentRuntimeId;agentRuntimeName
bedrock-data-automation,Data Automation for Amazon Bedrock,BlueprintSummary,DataAutomationProjectSummary;BlueprintItem,ListBlueprints,blueprintArn;blueprintName
bedrock-runtime,Amazon Bedrock Runtime,AsyncInvokeSummary,GuardrailAutomatedReasoningRule;GuardrailAutomatedReasoningRule,ListAsyncInvokes,invocationArn;modelArn
billing,AWS Billing,BillingViewListElement,sourceView;value,ListBillingViews,ownerAccountId
billingconductor,AWSBillingConductor,AccountAssociationsListElement,BillingGroupListElement;CustomLineItemListElement,ListAccountAssociations,AccountId;AccountName;BillingGroupArn
braket,Braket,DeviceSummary,JobSummary;InputFileConfig,SearchDevices,deviceArn;deviceName;providerName
budgets,AWS Budgets,Action,Action;Budget,DescribeBudgetActionsForAccount,ActionId;BudgetName;ExecutionRoleArn
ce,AWS Cost Explorer Service,AnomalySubscription,CostCategoryReference;Anomaly,GetAnomalySubscriptions,AccountId;SubscriptionArn;SubscriptionName
chatbot,AWS Chatbot,SlackChannelConfiguration,TeamsChannelConfiguration;SlackUserIdentity,DescribeSlackChannelConfigurations,ChatConfigurationArn;ConfigurationName;IamRoleArn;SlackChannelId;SlackChannelName;SlackTeamId;SlackTeamName
chime,Amazon Chime,User,Account;Bot,ListUsers,AccountId;DisplayName;UserId
chime-sdk-identity,Amazon Chime SDK Identity,AppInstanceBotSummary,AppInstanceSummary;AppInstanceUserEndpointSummary,ListAppInstanceBots,AppInstanceBotArn;Name
chime-sdk-media-pipelines,Amazon Chime SDK Media Pipelines,KinesisVideoStreamPoolSummary,MediaInsightsPipelineConfigurationSummary;MediaCapturePipelineSummary,ListMediaPipelineKinesisVideoStreamPools,PoolArn;PoolId;PoolName
chime-sdk-meetings,Amazon Chime SDK Meetings,Attendee,Attendee;Attendee,ListAttendees,AttendeeId;ExternalUserId
chime-sdk-messaging,Amazon Chime SDK Messaging,ChannelAssociatedWithFlowSummary,ChannelFlowSummary;ChannelSummary,ListChannelsAssociatedWithChannelFlow,ChannelArn;Name
chime-sdk-voice,Amazon Chime SDK Voice,VoiceProfileDomainSummary,SipMediaApplication;VoiceConnector,ListVoiceProfileDomains,Name;VoiceProfileDomainArn;VoiceProfileDomainId
cleanrooms,AWS Clean Rooms Service,CollaborationSummary,MemberSummary;MembershipSummary,ListCollaborations,creatorAccountId;creatorDisplayName;membershipArn;membershipId
cleanroomsml,AWS Clean Rooms ML,AudienceGenerationJobSummary,CollaborationConfiguredModelAlgorithmAssociationSummary;CollaborationMLInputChannelSummary,ListAudienceGenerationJobs,audienceGenerationJobArn;collaborationId;configuredAudienceModelArn
cloud9,AWS Cloud9,EnvironmentMember,Environment;environment,DescribeEnvironmentMemberships,environmentId;userArn;userId
cloudcontrol,AWS Cloud Control API,HookProgressEvent,ProgressEvent;ResourceDescription,GetResourceRequestStatus,HookTypeArn;HookTypeName;HookTypeVersionId
clouddirectory,Amazon CloudDirectory,Directory,SchemaFacet;SchemaFacet,ListDirectories,DirectoryArn;Name
cloudformation,AWS CloudFormation,TypeSummary,TypeVersionSummary;ChangeSetHook,ListTypes,DefaultVersionId;OriginalTypeName;PublisherId;PublisherName;TypeArn;TypeName
cloudfront,Amazon CloudFront,AnycastIpListSummary,ConnectionGroupSummary;DistributionTenantSummary,ListAnycastIpLists,Arn;Id;Name
cloudfront-keyvaluestore,Amazon CloudFront KeyValueStore,ListKeysResponseListItem,,ListKeys,
cloudhsm,Amazon CloudHSM,AZList,ClientList;HapgList,ListAvailableZones,AZListName
cloudhsmv2,AWS CloudHSM V2,Backup,Cluster;Hsm,DescribeBackups,BackupArn;BackupId;ClusterId
cloudsearch,Amazon CloudSearch,DomainStatu,Field;Field,DescribeDomains,DomainId;DomainName
cloudtrail,AWS CloudTrail,Trail,Channel;EventDataStore,DescribeTrails,CloudWatchLogsLogGroupArn;CloudWatchLogsRoleArn;KmsKeyId;Name;S3BucketName;SnsTopicName
cloudwatch,Amazon CloudWatch,MetricAlarm,MetricAlarm;MetricStreamEntry,DescribeAlarms,AlarmArn;AlarmName;MetricName;ThresholdMetricId
codeartifact,CodeArtifact,UpstreamRepositoryInfo,PackageGroupSummary;PackageGroupSummary,DescribeRepository,repositoryName
codebuild,AWS CodeBuild,CommandExecution,TestCase;Build,ListCommandExecutionsForSandbox,sandboxArn;sandboxId
codecatalyst,Amazon CodeCatalyst,DevEnvironmentSessionSummary,DevEnvironmentSummary;EventLogEntry,ListDevEnvironmentSessions,devEnvironmentId;projectName;spaceName
codecommit,AWS CodeCommit,PullRequestEvent,RepositoryNameIdPair;ApprovalRule,DescribePullRequestEvents,actorArn;pullRequestId
codeconnections,AWS CodeConnections,Connection,RepositoryLinkInfo;SyncConfiguration,ListConnections,ConnectionArn;ConnectionName;HostArn;OwnerAccountId
codedeploy,AWS CodeDeploy,DeploymentGroupInfo,InstanceInfo;ApplicationInfo,BatchGetDeploymentGroups,applicationName;deploymentConfigName;deploymentGroupId;deploymentGroupName;serviceRoleArn
codeguru-reviewer,Amazon CodeGuru Reviewer,CodeReviewSummary,RepositoryAssociationSummary;AnalysisType,ListCodeReviews,CodeReviewArn;Name;PullRequestId;RepositoryName
codeguru-security,Amazon CodeGuru Security,ScanSummary,Finding;Finding,ListScans,runId;scanName;scanNameArn
codeguruprofiler,Amazon CodeGuru Profiler,FindingsReportSummary,profilingGroup;FindingsReportSummary,ListFindingsReports,profilingGroupName
codepipeline,AWS CodePipeline,ActionExecutionDetail,RuleExecutionDetail;SourceRevision,ListActionExecutions,actionExecutionId;actionName;pipelineExecutionId;stageName
codestar-connections,AWS CodeStar connections,Connection,RepositoryLinkInfo;SyncConfiguration,ListConnections,ConnectionArn;ConnectionName;HostArn;OwnerAccountId
codestar-notifications,AWS CodeStar Notifications,EventTypeSummary,EventTypeSummary;NotificationRuleSummary,DescribeNotificationRule,EventTypeId;EventTypeName;ServiceName
cognito-identity,Amazon Cognito Identity,CognitoIdentityProvider,IdentityPoolShortDescription;CognitoIdentityProvider,DescribeIdentityPool,ClientId;ProviderName
cognito-idp,Amazon Cognito Identity Provider,UserImportJobType,GroupType;GroupType,ListUserImportJobs,CloudWatchLogsRoleArn;JobId;JobName;UserPoolId
cognito-sync,Amazon Cognito Sync,Dataset,IdentityPoolUsage;MergedDataset,ListDatasets,DatasetName;IdentityId
comprehend,Amazon Comprehend,TopicsDetectionJobProperty,DocumentClassificationJobProperty;DocumentClassifierProperty,ListTopicsDetectionJobs,DataAccessRoleArn;JobArn;JobId;JobName;VolumeKmsKeyId
comprehendmedical,AWS Comprehend Medical,ComprehendMedicalAsyncJobProperty,ComprehendMedicalAsyncJobProperty;ComprehendMedicalAsyncJobProperty,ListEntitiesDetectionV2Jobs,DataAccessRoleArn;JobId;JobName
compute-optimizer,AWS Compute Optimizer,InstanceRecommendation,AutoScalingGroupRecommendation;LambdaFunctionRecommendation,GetEC2InstanceRecommendations,accountId;instanceArn;instanceName
config,AWS Config,ConfigRule,ConfigRuleEvaluationStatu;ConformancePackDetail,DescribeConfigRules,ConfigRuleArn;ConfigRuleId;ConfigRuleName
connect,Amazon Connect Service,QueueSummary,RoutingProfileQueueConfigSummary;AgentStatusSummary,ListQueues,Arn;Id;Name
connect-contact-lens,Amazon Connect Contact Lens,MatchedCategory,IssueDetected;RealtimeContactAnalysisSegment,ListRealtimeContactAnalysisSegments,MatchedCategoryName
connectcampaigns,AmazonConnectCampaignService,CampaignSummary,FailedCampaignStateResponse;SuccessfulCampaignStateResponse,ListCampaigns,connectInstanceId
connectcampaignsv2,AmazonConnectCampaignServiceV2,CampaignSummary,channelSubtype;localTimeZoneDetection,ListCampaigns,connectCampaignFlowArn;connectInstanceId
connectcases,Amazon Connect Cases,DomainSummary,CaseRuleSummary;FieldSummary,ListDomains,domainArn;domainId
connectparticipant,Amazon Connect Participant Service,AttachmentItem,Item;Action,GetTranscript,AttachmentId;AttachmentName
controlcatalog,AWS Control Catalog,DomainSummary,CommonControlSummary;ControlSummary,ListDomains,Arn;Name
controltower,AWS Control Tower,BaselineSummary,ControlOperationSummary;EnabledBaselineSummary,ListBaselines,
cost-optimization-hub,Cost Optimization Hub,Recommendation,AccountEnrollmentStatu;MixedInstanceConfiguration,ListRecommendations,accountId;recommendationId;resourceArn;resourceId
cur,AWS Cost and Usage Report Service,ReportDefinition,AdditionalArtifact;AdditionalSchemaElement,DescribeReportDefinitions,BillingViewArn;ReportName
customer-profiles,Amazon Connect Customer Profiles,ListIntegrationItem,ListIntegrationItem;EventStreamSummary,ListAccountIntegrations,DomainName;ObjectTypeName;RoleArn;WorkflowId
databrew,AWS Glue DataBrew,Dataset,Job;Project,ListDatasets,AccountId;Name;ResourceArn
dataexchange,AWS Data Exchange,AssetEntry,DataSetEntry;DataGrantSummaryEntry,ListRevisionAssets,Arn;DataSetId;Id;Name;RevisionId;SourceId
datapipeline,AWS Data Pipeline,PipelineDescription,id;warning,DescribePipelines,pipelineId
datasync,AWS DataSync,AgentListEntry,TaskListEntry;Agent,ListAgents,AgentArn;Name
datazone,Amazon DataZone,AccountInfo,DataSourceRunActivity;EnvironmentBlueprintConfigurationItem,ListAccountsInAccountPool,awsAccountId;awsAccountName
dax,Amazon DynamoDB Accelerator (DAX),Cluster,SubnetGroup;Event,DescribeClusters,ClusterArn;ClusterName;IamRoleArn
deadline,AWSDeadlineCloud,FarmSummary,MonitorSummary;QueueSummary,ListFarms,displayName;farmId;kmsKeyArn
detective,Amazon Detective,Administrator,InvestigationDetail;MemberDetail,ListOrganizationAdminAccounts,AccountId;GraphArn
devicefarm,AWS Device Farm,Device,RemoteAccessSession;DeviceInstance,ListDevices,fleetName;modelId
devops-guru,Amazon DevOps Guru,Event,EventResource;LogAnomalyClass,ListEvents,Id;Name
directconnect,AWS Direct Connect,Connection,Connection;Connection,DescribeConnections,awsLogicalDeviceId;connectionId;connectionName;lagId;partnerName;providerName
discovery,AWS Application Discovery Service,AgentInfo,ContinuousExportDescription;DeletionWarning,DescribeAgents,agentId;connectorId;hostName
dlm,Amazon Data Lifecycle Manager,Action,AvailabilityZone;CrossRegionCopyRule,GetLifecyclePolicy,Name
dms,AWS Database Migration Service,CollectorResponse,DataProviderDescriptor;DataProviderDescriptor,DescribeFleetAdvisorCollectors,CollectorName;CollectorReferencedId;S3BucketName;ServiceAccessRoleArn
docdb,Amazon DocumentDB with MongoDB compatibility,GlobalCluster,DBSubnetGroup;DBCluster,DescribeGlobalClusters,DatabaseName;GlobalClusterArn;GlobalClusterResourceId
docdb-elastic,Amazon DocumentDB Elastic Clusters,ClusterInList,ClusterSnapshotInList;ResourcePendingMaintenanceAction,ListClusters,clusterArn;clusterName
drs,Elastic Disaster Recovery Service,ReplicationConfigurationTemplate,SourceServer;RecoveryInstance,DescribeReplicationConfigurationTemplates,ebsEncryptionKeyArn;stagingAreaSubnetId
ds,AWS Directory Service,EventTopic,AssessmentSummary;CertificateInfo,DescribeEventTopics,DirectoryId;TopicArn;TopicName
ds-data,AWS Directory Service Data,UserSummary,GroupSummary;GroupSummary,ListUsers,GivenName;SAMAccountName
dsql,Amazon Aurora DSQL,cluster,cluster;ClusterSummary,CreateCluster,clusterName
dynamodb,Amazon DynamoDB,BackupSummary,GlobalSecondaryIndexDescription;LocalSecondaryIndexDescription,ListBackups,BackupArn;BackupName;TableArn;TableId;TableName
dynamodbstreams,Amazon DynamoDB Streams,Stream,KeySchemaElement;Shard,ListStreams,StreamArn;TableName
ebs,Amazon Elastic Block Store,Block,ChangedBlock,ListSnapshotBlocks,
ec2,Amazon Elastic Compute Cloud,Instance,AnalysisComponent;AnalysisComponent,DescribeInstances,CapacityBlockId;CapacityReservationId;ImageId;InstanceId;KernelId;KeyName;OutpostArn;PrivateDnsName;PublicDnsName;RamdiskId;RootDeviceName;SpotInstanceRequestId;SubnetId;VpcId
ecr,Amazon Elastic Container Registry,Repository,EnhancedImageScanFinding;ImageDetail,DescribeRepositories,registryId;repositoryArn;repositoryName
ecr-public,Amazon Elastic Container Registry Public,Repository,ImageDetail;Registry,DescribeRepositories,registryId;repositoryArn;repositoryName
ecs,Amazon EC2 Container Service,ContainerInstance,ContainerInstance;Cluster,DescribeContainerInstances,capacityProviderName;containerInstanceArn;ec2InstanceId
efs,Amazon Elastic File System,AccessPointDescription,FileSystemDescription;Destination,DescribeAccessPoints,AccessPointArn;AccessPointId;FileSystemId;Name;OwnerId
eks,Amazon Elastic Kubernetes Service,PodIdentityAssociationSummary,cluster;instanceType,ListPodIdentityAssociations,associationArn;associationId;clusterName;ownerArn
elasticache,Amazon ElastiCache,CacheCluster,Snapshot;User,DescribeCacheClusters,CacheClusterId;CacheSubnetGroupName;PreferredOutpostArn;ReplicationGroupId
elasticbeanstalk,AWS Elastic Beanstalk,EnvironmentDescription,EventDescription;EnvironmentDescription,DescribeEnvironments,ApplicationName;EnvironmentArn;EnvironmentId;EnvironmentName;PlatformArn;SolutionStackName;TemplateName
elastictranscoder,Amazon Elastic Transcoder,Pipeline,Preset;Job,ListPipelines,Arn;AwsKmsKeyArn;Id;Name
elb,Elastic Load Balancing,LoadBalancerDescription,Instance;InstanceState,DescribeLoadBalancers,CanonicalHostedZoneName;DNSName;LoadBalancerName;VPCId
elbv2,Elastic Load Balancing,LoadBalancer,LoadBalancer;TargetGroup,DescribeLoadBalancers,CanonicalHostedZoneId;DNSName;LoadBalancerArn;LoadBalancerName;VpcId
emr,Amazon EMR,ClusterSummary,SessionMappingSummary;Instance,ListClusters,ClusterArn;Id;Name;OutpostArn
emr-containers,Amazon EMR Containers,JobRun,VirtualCluster;Endpoint,ListJobRuns,executionRoleArn;virtualClusterId
emr-serverless,EMR Serverless,JobRunAttemptSummary,JobRunSummary;entryPointArgument,ListJobRunAttempts,applicationId
entityresolution,AWS EntityResolution,IdMappingWorkflowSummary,IdNamespaceSummary;MatchingWorkflowSummary,ListIdMappingWorkflows,workflowArn;workflowName
es,Amazon Elasticsearch Service,ElasticsearchDomainStatu,ReservedElasticsearchInstance;DomainInfo,DescribeElasticsearchDomains,DomainId;DomainName
events,Amazon EventBridge,ApiDestination,Archive;Connection,ListApiDestinations,ApiDestinationArn;ConnectionArn;Name
evidently,Amazon CloudWatch Evidently,EvaluationResult,ExperimentReport;ExperimentResultsData,BatchEvaluateFeature,entityId
evs,Amazon Elastic VMware Service,EnvironmentSummary,Host;Vlan,ListEnvironments,environmentArn;environmentId;environmentName
finspace,FinSpace User Environment Management service,KxCluster,KxUser;Environment,ListKxClusters,availabilityZoneId;clusterName
finspace-data,FinSpace Public API,User,UserByPermissionGroup;ChangesetSummary,ListUsers,apiAccessPrincipalArn;firstName;lastName;userId
firehose,Amazon Kinesis Firehose,DeliveryStream,DestinationTableConfiguration;DatabaseSnapshotInfo,ListDeliveryStreams,DeliveryStreamName
fis,AWS Fault Injection Simulator,ExperimentTargetAccountConfigurationSummary,TargetAccountConfigurationSummary;ExperimentSummary,ListExperimentTargetAccountConfigurations,accountId;roleArn
fms,Firewall Management Service,AppsListDataSummary,ProtocolsListDataSummary;DiscoveredResource,ListAppsLists,ListArn;ListId;ListName
forecast,Amazon Forecast Service,DatasetGroupSummary,DatasetImportJobSummary;DatasetSummary,ListDatasetGroups,DatasetGroupArn;DatasetGroupName
frauddetector,Amazon Fraud Detector,BatchImport,BatchPrediction;EventPredictionSummary,GetBatchImportJobs,eventTypeName;iamRoleArn;jobId
freetier,AWS Free Tier,ActivitySummary,,ListAccountActivities,activityId
fsx,Amazon FSx,FileCache,FileSystem;Snapshot,DescribeFileCaches,DNSName;FileCacheId;KmsKeyId;OwnerId;VpcId
gamelift,Amazon GameLift,GameServerInstance,Instance;Alia,DescribeGameServerInstances,GameServerGroupArn;GameServerGroupName;InstanceId
gameliftstreams,Amazon GameLift Streams,StreamGroupSummary,StreamSessionSummary;StreamSessionSummary,ListStreamGroups,Arn;Id
geo-places,Amazon Location Service Places V2,BusinessChain,BusinessChain;BusinessChain,GetPlace,Id;Name
geo-routes,Amazon Location Service Routes V2,RouteTollRate,BoundingBox;CarAccess,CalculateRoutes,Id;Name
glacier,Amazon Glacier,DescribeVaultOutput,GlacierJobDescription;ProvisionedCapacityDescription,ListVaults,VaultName
globalaccelerator,AWS Global Accelerator,Accelerator,Attachment;CrossAccountResource,ListAccelerators,AcceleratorArn;DnsName;DualStackDnsName;Name
glue,AWS Glue,Integration,BlueprintRun;Catalog,DescribeIntegrations,IntegrationArn;IntegrationName;KmsKeyId;SourceArn;TargetArn
grafana,Amazon Managed Grafana,admin,allowedOrganization;dataSource,DescribeWorkspaceAuthentication,adminName
greengrass,AWS Greengrass,DefinitionInformation,DefinitionInformation;DefinitionInformation,ListConnectorDefinitions,Arn;Id;LatestVersionArn;Name
greengrassv2,AWS IoT Greengrass V2,Deployment,EffectiveDeployment;AssociatedClientDevice,ListDeployments,deploymentId;deploymentName;parentTargetArn;revisionId;targetArn
groundstation,AWS Ground Station,ConfigListItem,ContactData;GroundStationData,ListConfigs,configArn;configId
guardduty,Amazon GuardDuty,S3BucketDetail,VolumeDetail;Container,GetFindings,Arn;Name
health,AWS Health APIs and Notifications,AffectedEntity,AffectedEntity;OrganizationAffectedEntitiesErrorItem,DescribeAffectedEntities,awsAccountId;entityArn;eventArn
healthlake,Amazon HealthLake,DatastoreProperty,ExportJobProperty;ImportJobProperty,ListFHIRDatastores,DatastoreArn;DatastoreId;DatastoreName
iam,AWS Identity and Access Management,InstanceProfile,InstanceProfile;Role,ListInstanceProfiles,Arn;InstanceProfileId;InstanceProfileName
identitystore,AWS SSO Identity Store,User,Group;External,ListUsers,DisplayName;IdentityStoreId;Name;NickName;UserId;UserName
imagebuilder,EC2 Image Builder,ImageScanFinding,LifecycleExecution;WorkflowStepExecution,ListImageScanFindings,awsAccountId;imageBuildVersionArn;imagePipelineArn
importexport,AWS Import/Export,Job,,ListJobs,JobId
inspector,Amazon Inspector,AssessmentRunAgent,NetworkInterface;SecurityGroup,ListAssessmentRunAgents,agentId;assessmentRunArn
inspector2,Inspector2,CisScanConfiguration,CisCheckAggregation;CisScan,ListCisScanConfigurations,ownerId;scanConfigurationArn;scanName
internetmonitor,Amazon CloudWatch Internet Monitor,HealthEvent,InternetEventSummary;Monitor,ListHealthEvents,EventArn;EventId
invoicing,AWS Invoicing,InvoiceUnit,InvoiceProfile;InvoiceSummary,ListInvoiceUnits,InvoiceUnitArn;Name
iot,AWS IoT,CommandSummary,DomainConfigurationSummary;StreamSummary,ListCommands,commandArn;commandId;displayName
iot-data,AWS IoT Data Plane,result,RetainedMessageSummary,ListNamedShadowsForThing,resultName
iot-jobs-data,AWS IoT Jobs Data Plane,JobExecutionSummary,JobExecutionSummary,GetPendingJobExecutions,jobId
iot-managed-integrations,Managed integrations for AWS IoT Device Management,AccountAssociationItem,CredentialLockerSummary;ManagedThingSummary,ListAccountAssociations,AccountAssociationId;Arn;ConnectorDestinationId;Name
iotanalytics,AWS IoT Analytics,ChannelSummary,DatasetAction;DatasetActionSummary,ListChannels,channelName
iotdeviceadvisor,AWS IoT Core Device Advisor,SuiteDefinitionInformation,SuiteRunInformation;GroupResult,ListSuiteDefinitions,suiteDefinitionId;suiteDefinitionName
iotevents,AWS IoT Events,AlarmModelVersionSummary,DetectorModelVersionSummary;InputSummary,ListAlarmModelVersions,alarmModelArn;alarmModelName;roleArn
iotevents-data,AWS IoT Events Data,AlarmSummary,DetectorSummary;Timer,ListAlarms,alarmModelName;stateName
iotfleethub,AWS IoT Fleet Hub,ApplicationSummary,,ListApplications,applicationId;applicationName
iotfleetwise,AWS IoT FleetWise,SignalDecoder,VehicleSummary;CreateVehicleResponseItem,ListDecoderManifestSignals,fullyQualifiedName;interfaceId
iotsecuretunneling,AWS IoT Secure Tunneling,TunnelSummary,service,ListTunnels,tunnelArn;tunnelId
iotsitewise,AWS IoT SiteWise,ActionDefinition,ActionDefinition;ActionDefinition,DescribeAssetCompositeModel,actionDefinitionId;actionName
iotthingsgraph,AWS IoT Things Graph,SystemInstanceSummary,Thing;FlowExecutionMessage,SearchSystemInstances,greengrassGroupId;greengrassGroupName;greengrassGroupVersionId
iottwinmaker,AWS IoT TwinMaker,ComponentSummary,ComponentTypeSummary;EntitySummary,ListComponents,componentName;componentTypeId
iotwireless,AWS IoT Wireless,DeviceProfile,FuotaTask;MulticastGroup,ListDeviceProfiles,Arn;Id;Name
ivs,Amazon Interactive Video Service,StreamSummary,StreamKeySummary;StreamSessionSummary,ListStreams,channelArn;streamId
ivs-realtime,Amazon Interactive Video Service RealTime,Event,IngestConfigurationSummary;ParticipantReplica,ListParticipantEvents,destinationSessionId;destinationStageArn;participantId;remoteParticipantId
ivschat,Amazon Interactive Video Service Chat,loggingConfigurationIdentifier,loggingConfigurationIdentifier;loggingConfigurationIdentifier,ListRooms,loggingConfigurationIdentifierName
kafka,Managed Streaming for Kafka,Cluster,ClusterInfo;ClusterOperationInfo,ListClustersV2,ActiveOperationArn;ClusterArn;ClusterName
kafkaconnect,Managed Streaming for Kafka Connect,ConnectorSummary,ConnectorOperationSummary;CustomPluginSummary,ListConnectors,connectorArn;connectorName;serviceExecutionRoleArn
kendra,AWSKendraFrontendService,DataSourceSummary,ExperiencesSummary;FaqSummary,ListDataSources,Id;Name
kendra-ranking,Amazon Kendra Intelligent Ranking,RescoreExecutionPlanSummary,RescoreResultItem,ListRescoreExecutionPlans,Id;Name
